# COLUMN GUIDE: name=journal name, url=journal URL (optional)
name,url
American Journal of Tropical Medicine & Hygiene,
Annals of Medicine and Surgery,
Asian Journal of Research and Reports in Neurology,
BMJ Case Reports,https://casereports.bmj.com/pages/thank-you-to-our-reviewers/
BMJ Open,https://bmjopen.bmj.com/pages/thank-you-to-our-reviewers/
BMC Research Notes,
Bulletin of Emergency and Trauma,
Cancer Management and Research,
Case Reports in Infectious Diseases,
Clinical Case Reports,
Clinical Medicine Insights,
Community Health Equity Research and Policy,
Critical Care Research and Practice,
Cureus,
Current Research in Psychiatry,
"Ear, Nose & Throat Journal",
Educational Research Journal,
Emergency Medicine International,
European Journal of Dermatology,
Expert Review of Endocrinology & Metabolism,
Frontiers in Medicine,
Frontiers in Oncology,
Frontiers in Neurology,https://www.frontiersin.org/articles/10.3389/fneur.2022.945961/full
Frontiers in Public Health,
Frontiers in Psychiatry,
Frontiers in Surgery,https://www.frontiersin.org/articles/10.3389/fsurg.2022.907234/full
Future Cardiology,
GERMS,
Gland Surgery,
Global Pediatric Health,
Heliyon,
Health Science Reports,
International Journal of Advanced and Applied Sciences,
International Journal of Journalism and Mass Communication,
International Journal of Surgery,
International Journal of Tropical Disease and Health,
Infection and Drug Resistance,https://www.dovepress.com/peer_reviewer_acknowledgement.php?pa=pdf&journal_id=28&year=2022
Intensive Care Research,
International Quarterly of Community Health Education,
International Research Journal of Gastroenterology and Hepatology,
JMIR Formative Research,
JMIR Public Health and Surveillance,
JMIR Research Protocols,
JMIRx Med,
Journal of Clinical Medicine,
Journal of Medical Internet Research,
Journal of Multidisciplinary Healthcare,https://www.dovepress.com/peer_reviewer_acknowledgement.php?pa=pdf&journal_id=7&year=2021
Journal of Nursing and Healthcare Management,
Journal of Personalized Medicine,https://www.mdpi.com/2075-4426/12/4/541/review_report
Journal of Pain Research,https://www.dovepress.com/peer_reviewer_acknowledgement.php?pa=pdf&journal_id=41&year=2022
Journal of Pharmaceutical Research International,
Journal of Radiology Case Reports,
Langenbeck's Archives of Surgery,
Libyan Journal of Medicine,
PeerJ Journal,
Mediastinum,
PLOS Global Public Health,
PLOS One,
Postgraduate Medicine,
Risk Management and Healthcare Policy,https://www.dovepress.com/peer_reviewer_acknowledgement.php?pa=pdf&journal_id=56&year=2021
Shiraz E Medical Journal,https://semj.brieflands.com/en/people/certificate/24156995f52b22cd8
Scientific Reports,
Therapeutic Advances in Respiratory Disease,
The Breast,
The International Research Journal of Public and Environmental Health,
Trauma,
World Journal of Surgical Oncology,
