# COLUMN GUIDE: date=display date string, month=month abbreviation, year=year, type=[poster|oral], title=full title, venue=conference/society name, conference=short conference name, location=city or country, cat=category keys semicolon-separated (see TAXONOMY), keywords=free-text hashtags semicolon-separated for search, featured=[yes|no]
date,month,year,type,title,venue,conference,location,cat,keywords,featured
6-Jul,Jul,2026,poster,Automating Abdominal Wall Reconstruction Consultation Triage: A Rules-Based Scheduling Algorithm to Reduce Clinical Review Burden,Mayo Clinic AI Summit,Mayo Clinic AI Summit,United States,surgery,hernia,
6-Jul,Jul,2026,poster,Establishment of a Personalized AI-Based Decision Aid for Breast Reconstruction Surgery Candidates: Pilot Study of the BRIDGE AI Tool,Mayo Clinic AI Summit,Mayo Clinic AI Summit,United States,plastic;surgery;ai,LLM;chatbot,yes
6-Jul,Jul,2026,poster,Biological Age Reversal Following Bariatric Surgery: A Longitudinal Cohort Study Using AI-Derived ECG Age,Mayo Clinic AI Summit,Mayo Clinic AI Summit,United States,surgery;bariatric;ai,Age,yes
Apr-26,Apr,2026,poster,Mayo Obesity Staging Index: A Novel Obesity Classification System,American Society for Metabolic and Bariatric Surgery (ASMBS),,United States,,,
Jun-26,Jun,2026,poster,Peripheral Nerve Fellowship Programs In The U.S.: A Cross-sectional Study of Online Information Accessibility,Plastic Surgery Research Council (PSRC),PSRC Annual Meeting,United States,plastic,,
Mar-26,Mar,2026,poster,Short and Long Term Oncologic Outcomes of Minimally Invasive Surgery for Gastric Gastrointestinal Stromal Tumors,Society of Surgical Oncology (SSO),SSO Annual Meeting,United States,oncology;gi,,
Dec-25,Dec,2025,poster,An Experimental In Vitro and In Vivo Study on Achilles Tendon Regeneration Using Ostrich Eggshell Membrane Combined with Platelet-Rich Plasma,American Orthopaedic Foot & Ankle Society (AOFAS) Annual Meeting 2025,AOFAS Annual Meeting,United States,ortho,,
Oct-25,Oct,2025,poster,Mapping Global Trends in Robotic Surgery in Plastic and Reconstructive Surgery: A Bibliometric Analysis,Annual Balfour Surgery Research Symposium,Balfour Surgery Research Symposium,United States,plastic;machine_learning,,
Oct-25,Oct,2025,poster,Evaluation of the Operational Effectiveness of the Mayo Clinic Mastectomy Interactive Care Plan,Annual Balfour Surgery Research Symposium,Balfour Surgery Research Symposium,United States,plastic;machine_learning,,
Jul-25,Jul,2025,poster,Trend and Changes in AI based on Patient Perspectives,Mayo Clinic AI Summit,Mayo Clinic AI Summit,United States,machine_learning,,
Apr-25,Apr,2025,poster,Molecular Analysis of Suspected or High-Risk Lung Cancer to Drive Individualized Care (INTERCEPTioN): A Pilot Study,Advanced Robotic Surgery Conference 2025,Advanced Robotic Surgery Conference,United States,thoracic,,
Dec-22,Dec,2022,poster,COVID-19 Versus Applied Infection Control Policies in a Major Transplant Center in Iran,Organ Transplantation before and during the COVID-19 era,International Transplantation Congress,Iran,infectious;transplant,,
Oct-22,Oct,2022,poster,Comparison of Ghost Ileostomy and Protective Ileostomy in Rectal Cancer Patients Undergoing Neoadjuvant Chemoradiotherapy,31st Biennial Congress of International Society of University Colon and Rectal Surgeons (ISUCRS),ISUCRS Biennial Congress,Turkey,gi;oncology,,
Oct-21,Oct,2021,oral,Suicide by Self-immolation in Southern Iran: An Epidemiological Study,10th National Burn Congress 2021,National Burn Congress,Iran,plastic;pubhealth,,
Jul-21,Jul,2021,poster,Management of Intestinal Failure from an Intestinal Rehabilitation Unit in the Middle East,Transplantation (International Congress),International Transplantation Congress,Iran,gi;transplant,,
Sep-20,Sep,2020,oral,Multisystem Inflammatory Syndrome with Features of Atypical Kawasaki Disease: A Case Report from Iran during the COVID-19 Pandemic,26th European Paediatric Rheumatology e-Congress (PReS),PReS European Paediatric Rheumatology Congress,Netherlands,infectious,,
Oct-19,Oct,2019,poster,"Seroprevalence of Toxocariasis and Its Related Risk Factors among Municipal Street Sweepers in Shiraz, Southern Iran",4th International & 11th National Congress of Parasitology & Parasitic Diseases of Iran (NICOPA11),NICOPA11,Iran,infectious;pubhealth,,
Apr-16,Apr,2016,poster,The Effect of Aqueous Alcoholic Extract of Melissa Officinalis in the Treatment of Acetic Acid Induced Ulcerative Colitis in Rats,First National Congress on Animal Models in Experimental Medical Researches,National Congress on Animal Models,Iran,gi,,
Mar-16,Mar,2016,poster,Successful Use of Persian Medicine Preparation Ma'aljobon in a Patient with Chronic Cough,3rd Professor Amirhakimi Pediatric Congress,Professor Amirhakimi Pediatric Congress,Iran,pulm,,
Jun-15,Jun,2015,poster,Evaluation of Rectally Administered Salvia Officinalis in the Treatment of Ulcerative Colitis,International Student Congress of (bio)Medical Sciences 2015 (ISCOMS),ISCOMS,Netherlands,gi,,
Jun-15,Jun,2015,poster,Ulcerative Colitis Treatment with Rectal Administration of Colostrum in Rats,International Student Congress of (bio)Medical Sciences 2015 (ISCOMS),ISCOMS,Netherlands,gi,,
