# COLUMN GUIDE: n=number, year=publication year, month=publication month abbrev e.g. Jan (optional; shown before year when present), type=[original|review|case|letter], tags=authorship roles semicolon-separated [first|co-first|last|corresponding], cat=category keys semicolon-separated (see TAXONOMY in build/utils.py), title=full title, authors=full author list, journal=journal name, url=DOI or full URL, keywords=free-text hashtags semicolon-separated for search, highlight_topics=category keys where this article is featured (floats to top), featured=[yes|no] always-show gold star
n,year,month,type,tags,cat,title,authors,journal,url,keywords,highlight_topics,featured
1,2026,Apr,original,,pubhealth;bariatric;education;health_systems,"Online patient education resources in bariatric surgery: a systematic evaluation of quality, readability, transparency, and representation","Alomar A*, Shahriarirad R, Ghanem O, Laplante S",Surgical Endoscopy,https://doi.org/10.1007/s00464-026-12845-y,Medical education;Public health;Bariatric surgery;Health systems;Readability;Quality,pubhealth;bariatric,
2,2026,Mar,review,co-first,plastic;health_systems,Global Trends and Research Landscape of Robotic Surgery in Plastic and Reconstructive Surgery: A Bibliometric Analysis (1999–2025),"Afsar A, Shahriarirad R, Kumar N, Ravi V, Vijayasekaran A*",Journal of Robotic Surgery,,Robotic surgery;Minimally invasive surgery;Plastic surgery;Health systems;Systematic review;Bibliometric analysis,plastic;health_systems,
3,2026,Jan,original,corresponding,infectious;oncology;health_systems,"The Impact of the COVID-19 Pandemic on Patients with Breast Cancer, Diagnostic Delays and Disease Progression: A Retrospective Study","Rezvani A, Heydarzadeh R, Golchin Vafa R, Shahriarirad R*",The Iranian Journal of Medical Sciences,https://pmc.ncbi.nlm.nih.gov/articles/PMC12858447/,Breast cancer;COVID-19;Infectious disease;Surgical oncology;Health systems;Breast reconstruction,infectious;oncology,
4,2026,Jan,case,,neuro,Three Challenging Cases of Autoimmune Encephalitis: A Case-Series and Review of the Literature,"Bahrami Y, Pedramfar P*, Shahriarirad R",Clinical Case Reports,https://onlinelibrary.wiley.com/doi/10.1002/ccr3.71733,Neurology;Case report,neuro,
5,2025,May,case,co-first,vascular;urology,Effective and Lifesaving Retrograde Femoral and Jugular Vein Double Lumen Catheter Insertion in Patients with Poor Hemodialysis Venous Access: A Case Series,"Hosseinzadeh A, Dalfardi F, Shahriarirad R, Pezeshkian F*, Keikha F",Clinical Case Reports,https://onlinelibrary.wiley.com/doi/full/10.1002/ccr3.70522,Vascular surgery;Urology;Case report,vascular;urology,
6,2025,Dec,original,,plastic,The Effect of Autologous Platelet-Rich Plasma on Donor Site Wound Healing: A Randomised Crossover Clinical Trial,"Dasmeh U, Mohammadi AA, Shahrokhi R, Shahriarirad S, Shahriarirad R, Naseri R*",Journal of Wound Care,https://www.magonlinelibrary.com/doi/full/10.12968/jowc.2023.0210,Wound healing;Regenerative medicine;Plastic surgery,plastic,
7,2025,Nov,original,corresponding,ortho;infectious,Osteomyelitis and Its Main Determinants in Patients With Diabetic Foot Ulcer: A Cross-Sectional Study,"Bolandi S, Niyakan MH, Jamali K, Ghodsi Boushehri Y, Tajaddini A, Shahriarirad R*",Health Science Reports,https://onlinelibrary.wiley.com/doi/10.1002/hsr2.71463,Osteomyelitis;Diabetes;Orthopaedic surgery;Infectious disease;Diabetic foot,ortho;infectious,
8,2025,Oct,original,first;corresponding,plastic;oncology;health_systems;pubhealth;education,"Systemic Evaluation of Quality, Readability, and Integrity of Online Breast Reconstruction Resources","Shahriarirad R*, Kumar N, Vijayasekaran A",Clinical Breast Cancer,https://www.sciencedirect.com/science/article/pii/S1526820925002897,Medical education;Plastic surgery;Surgical oncology;Health systems;Public health;Breast reconstruction,plastic;oncology,
9,2025,Oct,original,,gi;oncology,Ghost Ileostomy Versus Protective Ileostomy in Rectal Cancer Followed by Low Anterior Resection: A Randomized Feasibility Trial,"Meshkati Yazd SM, Keramati MR, Ghanbari Ghalerudkhani M, Shahriarirad R, Parsa A, Keshvari A*",Health Science Reports,https://onlinelibrary.wiley.com/doi/10.1002/hsr2.71351,Colorectal surgery;Gastrointestinal surgery;Surgical oncology;Randomized trial,gi;oncology,
10,2025,Apr,original,,gi,Antioxidant and Anti-inflammatory Effects of Equisetum arvense L. on Acid-Induced Ulcerative Colitis in Rats,"Koohi-Hosseinabadi O, Koohpeyma F, Safarpour AR, Nematollahy P, Kazemi M, Shahriarirad R, Tanideh R, Mojahedtaghi M, Ghaemmaghami P, Iraji A, Goudarzi K, Tanideh N*",Scientific Reports,https://www.nature.com/articles/s41598-025-97693-x,Complementary medicine;Herbal medicine;Supplement;Regenerative medicine;Translational research;Gastrointestinal surgery,gi,
11,2025,Apr,original,last;corresponding,endocrine;oncology,The Diagnostic Role of FNA Based on Clinicopathological Features in Thyroid Malignancy,"Fallahi MM, Koulaian S, Mardani P, Malekhosseini SA, Shahriarirad R*",BMC Endocrine Disorders,https://link.springer.com/article/10.1186/s12902-025-01945-w,Diagnostics;Endocrine surgery;Surgical oncology;Thyroid,endocrine;oncology,
12,2025,Jun,original,,gi,"Diagnostic Value of Physical Examination, Ultrasound, and Radiography Compared to CT in Evaluation of Nontraumatic Left Lower Quadrant Acute Abdominal Pain","Kiani F, Meshkati Yazd SM, Zarimeidani F, Rahmati R, Shabani Mofrad N, Vafaei Nia M, Shahriarirad R",Emergency Medicine International,https://onlinelibrary.wiley.com/doi/10.1155/emmi/1681801,Diagnostics;Imaging;Gastrointestinal surgery,gi,
13,2025,Apr,original,co-first,ortho;endocrine,"Comparative Analysis of the Therapeutic Effects of Pregabalin, Gabapentin, and Duloxetine in Diabetic Peripheral Neuropathy: A Retrospective Study","Ahn J*, Shahriarirad R, Kwon K, Bejarano-Pineda L, Waryasz G, Ashkani-Esfahani S",Journal of Diabetes and Its Complications,https://www.sciencedirect.com/science/article/pii/S1056872725000546,Diabetes;Orthopaedic surgery;Endocrine surgery,ortho;endocrine,
14,2025,Mar,original,corresponding,thoracic;oncology,"Evaluation of Surgical Cases of Lung Cancer Admitted in Shiraz Referral Hospitals, Southern Iran in 2009–2022","Dehghani S, Rezvani A, Shahriarirad R*, Rajabian MS, Ziaian B, Fallahi MJ, Mardani P, Amirian A",Cancer Reports,https://onlinelibrary.wiley.com/doi/full/10.1002/cnr2.70108,Thoracic surgery;Surgical oncology;Lung cancer,thoracic;oncology,
15,2025,Feb,original,corresponding,infectious;pubhealth;health_systems,"Seroepidemiological Assessment of Bordetella Pertussis in Jahrom, Southern Iran: A Cross-sectional Study","Raufi R, Zareian-Jahromi F, Zangeneh S, Rajabi J, Shahriarirad R*",Health Care Science,https://onlinelibrary.wiley.com/doi/10.1002/hcs2.70000,Translational research;Infectious disease;Public health;Health systems,infectious;pubhealth,
16,2025,Feb,original,,derm;oncology,"Investigating the Efficacy and Safety of Oral Cicaglocal on Wound Healing After Mohs Surgery in Patients With Skin Cancer: A Randomized, Double-Blinded, Placebo-Controlled Clinical Trial","Asilian A, Mohammadian P*, Mahram H, Shahriarirad R, Bigham M",Journal of Cosmetic Dermatology,https://onlinelibrary.wiley.com/doi/10.1111/jocd.16784,Complementary medicine;Herbal medicine;Supplement;Dermatology;Surgical oncology;Wound healing,derm;oncology,
17,2025,Jan,original,corresponding,vascular,Evaluation of Aneurysm Cases Undergoing Surgery at a Tertiary Center in Iran: A 22-year Retrospective Study,"Ghoddusi Johari H, Ranjbar K, Kassaee K, Hoseini MA, Shahriarirad R*",Health Science Reports,https://onlinelibrary.wiley.com/doi/10.1002/hsr2.70331,Vascular surgery;Aneurysm,vascular,
18,2025,Jan,original,first;corresponding,ortho,In-Vitro and In-Vivo Assessment of Biocompatibility and Efficacy of Ostrich Eggshell Membrane Combined with Platelet-Rich Plasma in Achilles Tendon Regeneration,"Koohi-Hosseinabadi O, Shahriarirad R*, Dehghanian A, Amini L, Barzegar S, Daneshparvar A, Alavi O, Khazraei SP, Hosseini S, Arabi Monfared A, Khorram R, Tanideh N*, Ashkani-Esfahani S",Scientific Reports,https://www.nature.com/articles/s41598-025-85131-x,Tissue engineering;Translational research;Orthopaedic surgery;Animal model;Regenerative medicine,ortho,yes
19,2024,Dec,original,,ortho;endocrine,"Comparisons of the Therapeutics for Diabetic Neuropathic Pain: Prospective Cohort Study, Seoul, Korea","Ahn J, Shahriarirad R, Kwon K, Bejarano-Pineda L, Waryasz GR, DiGiovanni CW, Ashkani-Esfahani S",Foot & Ankle Orthopaedics,https://journals.sagepub.com/doi/abs/10.1177/2473011424S00215,Diabetes;Orthopaedic surgery;Endocrine surgery,ortho;endocrine,
20,2024,Dec,original,corresponding,gi,Clinical Presentations and Surgical Features of Morgagni Hernia in Adults: A Retrospective Study,"Mardani P, Dalfardi F, Bahmani S, Rahmati R, Zarimeidani F, Ziaian B, Amirian A, Vafabin M, Shahriarirad R*",Health Science Reports,https://onlinelibrary.wiley.com/doi/epdf/10.1002/hsr2.70248,Gastrointestinal surgery;Hernia,gi,
21,2024,Oct,review,,derm,An Overview of the Role of Chemokine CX3CL1 (Fractalkine) and CX3C Chemokine Receptor 1 in Systemic Sclerosis,"Pezeshkian F, Shahriarirad R, Mahram H*","Immunity, Inflammation and Disease",https://onlinelibrary.wiley.com/doi/10.1002/iid3.70034,Immunology;Dermatology;Systematic review,derm,
22,2024,Oct,original,corresponding,thoracic;oncology;pubhealth;health_systems,The Aftermath of Asbestos Prohibition in Industry and Its Association with Malignant Mesothelioma in the South of Iran: An Enduring Predicament yet to be Resolved,"Rezvani A, Shahriarirad R*, Jahanshahi S, Fouladi D, Tavallali M, Ziaian B, Fallahi MJ",Health Science Reports,https://onlinelibrary.wiley.com/doi/10.1002/hsr2.70117,Thoracic surgery;Surgical oncology;Public health;Health systems,thoracic;oncology,
23,2024,Sep,original,corresponding,infectious;health_systems,Changes in Incidence and Clinical Features of Tuberculosis with Regard to the COVID-19 Outbreak in Southern Iran,"Fallahi MJ, Nazemi M, Zeighami A, Shahriarirad R*",BMC Infectious Diseases,https://link.springer.com/article/10.1186/s12879-024-09947-0,Epidemiology;Infectious disease;Health systems;COVID-19;Tuberculosis,infectious;health_systems,
24,2024,Aug,original,corresponding,vascular,Computed Tomography Angiography-guided Analysis of Morphologic Properties of the Thoracic Aorta and Arch Branches: A Cross-sectional Study,"Hosseinzadeh A, Tajaddini A, Jafari SH, Mohammadi Z, Dalfardi F, Fatemian H, Shahriarirad R*",Health Science Reports,https://onlinelibrary.wiley.com/doi/10.1002/hsr2.70017,Imaging;Vascular surgery;Thoracic surgery,vascular,
25,2024,Aug,original,,gi;oncology;pubhealth,Analyzing Quality of Life After Low Anterior Resection for Rectal Cancer,"Meshkati Yazd SM, Shahriarirad R, Almasi S, Mirmohammadkhani M, Keramati MR*",Irish Journal of Medical Science,https://link.springer.com/article/10.1007/s11845-024-03757-8,Quality of life;Gastrointestinal surgery;Surgical oncology;Public health;Colorectal surgery;Quality,gi;oncology,
26,2024,Jul,original,first;corresponding,gi,Evaluation of Salvia Officinalis (Sage) in the Treatment of Acetic Acid-Induced Ulcerative Colitis in Rat Model,"Shahriarirad R*, Seifbehzad S, Erfani A, Nekouei F, Ashkani-Esfahani S, Hosseinzadeh M, Tanideh N, Koohi-Hosseinabadi O, Sarkari B",Journal of Coloproctology,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0044-1787141,Complementary medicine;Herbal medicine;Supplement;Regenerative medicine;Translational research;Gastrointestinal surgery,gi,
27,2024,Jul,original,co-first;corresponding,infectious;pubhealth;education,"Knowledge, Attitude, and Practice toward the Novel Coronavirus (COVID-19) Outbreak: A Population-Based Survey in Iran","Erfani A, Shahriarirad R*, Ranjbar K, Mirahmadizadeh A, Moghadami M",Journal of Health Sciences & Surveillance System,https://journals.sums.ac.ir/article_49437.html,Knowledge attitudes practice;Infectious disease;Public health;Medical education;COVID-19,infectious;pubhealth,
